ID,NOME,IMAGEM_USUÁRIO,CPF,EMAIL,CONTATO,LATTES,MATRÍCULA,TAMANHO CAMISETA,DATA NASCIMENTO,EQUIPE DE PROJETO,ORIENTADOR,SÉRIE,ANO,NÍVEL ESCOLARIDADE,CURSO,STATUS CURSO,ÁREAS DE INTERESSE,TIPO MEMBRO,NÍVEL GP,STATUS
474dfc15-8129-42e0-bdf8-b4645efae217,Ana Paula Mendes,https://i.pravatar.cc/150?img=40,144.426.982-17,ana.paula.mendes@ifro.edu.br,(69) 99427-8630,http://lattes.cnpq.br/ana.p143,20211002280,G,2005-10-10,Automação,Profa. Ana Júlia,3º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Python, Flutter",Discente,Avançado,Inativo
d072334d-1306-4389-8db7-e2cdad20f9bb,Bruno Oliveira,https://i.pravatar.cc/150?img=31,725.273.733-60,bruno.oliveira@ifro.edu.br,(69) 99134-1065,http://lattes.cnpq.br/bruno876,20211002460,G,2006-08-02,IA Aplicada,Profa. Ana Júlia,2º Ano,2025,Ensino Médio,Informática,Cursando,"IA, Robótica, WebDev",Docente,Iniciante,Inativo
961ce27f-0a9e-4642-9419-f4d31a8df39f,Gabriel Ferreira,https://i.pravatar.cc/150?img=66,850.769.532-91,gabriel.ferreira@ifro.edu.br,(69) 99184-9821,http://lattes.cnpq.br/gabri143,20211002480,M,2004-06-05,IA Aplicada,Profa. Ana Júlia,2º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Automação, Redes",Discente,Intermediário,Inativo
28849e55-0fe3-4ad6-8edf-e2dc42c4a048,Helena Santos,https://i.pravatar.cc/150?img=37,143.398.916-93,helena.santos@ifro.edu.br,(69) 98169-6607,http://lattes.cnpq.br/helen557,20211002007,M,2005-01-16,WebDev,Prof. Carlos Lima,3º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Dados, Arduino",Discente,Iniciante,Inativo
7b72af39-4233-48b5-9798-116d49781242,Daniela Lima,https://i.pravatar.cc/150?img=47,172.374.234-60,daniela.lima@ifro.edu.br,(69) 98822-2729,http://lattes.cnpq.br/danie458,20211002137,M,2006-04-12,IA Aplicada,Prof. Carlos Lima,2º Ano,2025,Ensino Médio,Informática,Cursando,"Dados, Arduino",Docente,Avançado,Ativo
9c6f35a4-f5a3-4458-918d-6a8f5506bc7a,Igor Almeida,https://i.pravatar.cc/150?img=23,786.231.160-90,igor.almeida@ifro.edu.br,(69) 99975-2819,http://lattes.cnpq.br/igor.264,20211002700,G,2004-02-01,Robótica,Prof. Roberto Nunes,3º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Dados, Arduino",Discente,Avançado,Inativo
7c78e9a0-fd4a-42d4-ba2e-85e815ea9eea,Daniela Lima,https://i.pravatar.cc/150?img=30,720.796.144-67,daniela.lima@ifro.edu.br,(69) 99164-6539,http://lattes.cnpq.br/danie670,20211002060,P,2005-03-06,Automação,Prof. Carlos Lima,2º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Automação, Redes",Discente,Iniciante,Ativo
f8fb8c3b-23f7-4205-95aa-a25a76714d5b,Carlos Souza,https://i.pravatar.cc/150?img=59,122.397.404-40,carlos.souza@ifro.edu.br,(69) 99078-1015,http://lattes.cnpq.br/carlo126,20211002534,G,2006-05-02,IA Aplicada,Prof. Carlos Lima,3º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Dados, Arduino",Discente,Avançado,Ativo
ac2bd813-d683-48b4-93f9-9177b31c071a,Helena Santos,https://i.pravatar.cc/150?img=10,358.648.437-35,helena.santos@ifro.edu.br,(69) 98017-4863,http://lattes.cnpq.br/helen408,20211002945,M,2004-04-07,IA Aplicada,Prof. Roberto Nunes,3º Ano,2025,Ensino Médio,Informática,Cursando,"Python, Flutter",Técnico,Intermediário,Inativo
99d43db3-d627-46dc-af17-2a525fdce3cc,Carlos Souza,https://i.pravatar.cc/150?img=45,439.999.709-84,carlos.souza@ifro.edu.br,(69) 98402-5159,http://lattes.cnpq.br/carlo982,20211002014,G,2005-12-17,Automação,Prof. Carlos Lima,3º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Automação, Redes",Discente,Intermediário,Ativo
f41ee2e3-009e-448b-9fc3-4185d41a111a,Helena Santos,https://i.pravatar.cc/150?img=56,781.997.736-27,helena.santos@ifro.edu.br,(69) 99177-9964,http://lattes.cnpq.br/helen133,20211002126,P,2006-09-24,IA Aplicada,Prof. Roberto Nunes,3º Ano,2025,Ensino Médio,Informática,Cursando,"Python, Flutter",Docente,Avançado,Ativo
3fe6f518-42b6-471f-a42b-2367597c3f5b,Carlos Souza,https://i.pravatar.cc/150?img=69,632.854.876-82,carlos.souza@ifro.edu.br,(69) 99353-4603,http://lattes.cnpq.br/carlo964,20211002998,M,2004-02-04,Automação,Profa. Ana Júlia,1º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Python, Flutter",Docente,Intermediário,Ativo
e07e25d8-cd2b-48ce-af22-c896d8b40a98,Fernanda Costa,https://i.pravatar.cc/150?img=2,640.667.924-85,fernanda.costa@ifro.edu.br,(69) 98512-8347,http://lattes.cnpq.br/ferna616,20211002891,G,2005-03-12,WebDev,Prof. Carlos Lima,1º Ano,2025,Ensino Médio,Informática,Cursando,"Python, Flutter",Técnico,Iniciante,Inativo
d7804304-7249-4d55-857e-30b581b411bd,Eduardo Silva,https://i.pravatar.cc/150?img=8,216.915.336-73,eduardo.silva@ifro.edu.br,(69) 98329-2617,http://lattes.cnpq.br/eduar583,20211002436,G,2006-08-05,IA Aplicada,Prof. Roberto Nunes,3º Ano,2025,Ensino Médio,Informática,Cursando,"IA, Robótica, WebDev",Discente,Intermediário,Ativo
1694f370-8818-48b4-bc1e-769b294b057e,Eduardo Silva,https://i.pravatar.cc/150?img=66,332.472.936-97,eduardo.silva@ifro.edu.br,(69) 98855-2250,http://lattes.cnpq.br/eduar402,20211002782,M,2004-06-15,Visão Computacional,Prof. Roberto Nunes,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Dados, Arduino",Docente,Iniciante,Ativo
de80e142-f956-4311-bddc-a99535ba3bcf,Fernanda Costa,https://i.pravatar.cc/150?img=9,859.209.467-38,fernanda.costa@ifro.edu.br,(69) 98475-3302,http://lattes.cnpq.br/ferna440,20211002846,P,2005-03-27,IA Aplicada,Profa. Ana Júlia,1º Ano,2025,Ensino Médio,Informática,Cursando,"Dados, Arduino",Técnico,Intermediário,Ativo
13e234c6-dea7-4f0c-8f03-42a19f75a302,Igor Almeida,https://i.pravatar.cc/150?img=8,789.862.350-70,igor.almeida@ifro.edu.br,(69) 99702-8922,http://lattes.cnpq.br/igor.961,20211002306,P,2006-04-20,Automação,Prof. Roberto Nunes,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Dados, Arduino",Docente,Intermediário,Ativo
cb18494a-814b-49a6-af62-356ffc5e0e24,Helena Santos,https://i.pravatar.cc/150?img=1,913.376.646-80,helena.santos@ifro.edu.br,(69) 98022-7458,http://lattes.cnpq.br/helen741,20211002874,G,2004-01-23,Automação,Profa. Ana Júlia,3º Ano,2025,Ensino Médio,Informática,Cursando,"IA, Robótica, WebDev",Docente,Avançado,Ativo
a564b55f-6132-478d-9c44-2dbd56ebe38c,Eduardo Silva,https://i.pravatar.cc/150?img=49,780.489.110-44,eduardo.silva@ifro.edu.br,(69) 99061-3154,http://lattes.cnpq.br/eduar232,20211002212,GG,2005-06-09,Automação,Prof. Roberto Nunes,2º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Automação, Redes",Discente,Iniciante,Ativo
98189a02-f6c6-43cc-b372-40f46199fea5,Juliana Rodrigues,https://i.pravatar.cc/150?img=64,940.175.920-64,juliana.rodrigues@ifro.edu.br,(69) 99767-1367,http://lattes.cnpq.br/julia197,20211002744,GG,2006-03-24,IA Aplicada,Profa. Ana Júlia,3º Ano,2025,Ensino Médio,Informática,Cursando,"Python, Flutter",Docente,Intermediário,Ativo
7a2bb119-1da5-4090-a38e-a29d2aa100e1,Gabriel Ferreira,https://i.pravatar.cc/150?img=4,351.489.968-55,gabriel.ferreira@ifro.edu.br,(69) 98753-2766,http://lattes.cnpq.br/gabri650,20211002475,M,2004-02-12,WebDev,Profa. Ana Júlia,2º Ano,2025,Ensino Médio,Informática,Cursando,"IA, Robótica, WebDev",Discente,Iniciante,Ativo
2f10d821-6c55-47a1-9637-99631609c191,Eduardo Silva,https://i.pravatar.cc/150?img=11,344.980.955-62,eduardo.silva@ifro.edu.br,(69) 98450-4996,http://lattes.cnpq.br/eduar500,20211002433,P,2005-11-22,Automação,Prof. Roberto Nunes,1º Ano,2025,Ensino Médio,Informática,Cursando,"Automação, Redes",Técnico,Avançado,Ativo
7811b821-3103-4dac-9bbd-e0bd1bfcf937,Juliana Rodrigues,https://i.pravatar.cc/150?img=49,640.692.608-21,juliana.rodrigues@ifro.edu.br,(69) 98352-9889,http://lattes.cnpq.br/julia405,20211002064,GG,2006-02-05,WebDev,Prof. Carlos Lima,1º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Python, Flutter",Técnico,Intermediário,Inativo
ae22889e-8ba5-43fb-9a5e-c5dce701fe36,Gabriel Ferreira,https://i.pravatar.cc/150?img=55,540.466.204-65,gabriel.ferreira@ifro.edu.br,(69) 98458-6542,http://lattes.cnpq.br/gabri233,20211002199,P,2004-01-07,Visão Computacional,Profa. Ana Júlia,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Automação, Redes",Docente,Iniciante,Ativo
013c39b1-e460-4e7a-80ef-aa2739944a34,Igor Almeida,https://i.pravatar.cc/150?img=70,688.449.901-36,igor.almeida@ifro.edu.br,(69) 98478-2249,http://lattes.cnpq.br/igor.961,20211002568,GG,2005-04-01,IA Aplicada,Profa. Ana Júlia,3º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Python, Flutter",Docente,Intermediário,Inativo
